name,latlon
 Grill gladiator mural,"33.463642,-88.808746"
Silver Water Tower,"33.461906,-88.810547"
Bully Dog Sculpture,"33.481133,-88.796847"
Cobb Institute of Archaeology,"33.454831,-88.787258"
MSU Vietnam Memorial ,"33.459606,-88.790951"
Nusz Park,"33.466606,-88.792354"
MSU Engineering Sculpture,"33.453761,-88.788372"
The Morgan Freeman Equine Reproductive Research Unit,"33.44302,-88.798295"
Old Main Academic Center ,"33.456758,-88.789554"
Pam Miller Memorial,"33.453663,-88.788733"
The Little Dooey,"33.462873,-88.807334"
Small Pavilion At McKee Park,"33.445991,-88.833702"
McKee Large Pavilion,"33.446128,-88.831202"
Unity Park,"33.464217,-88.816699"
Josey Creek M. B. Church ,"33.462316,-88.889117"
Saint Paul M.B. Church,"33.528617,-88.861546"
Northside Church of Christ,"33.483632,-88.810008"
Liberty Church ,"33.477029,-88.720905"
Memorial Hall Abstract Art,"33.457962,-88.792949"
Highlands Plantation Park,"33.466618,-88.749789"
SSG Travis Sentell Cooper Memorial ,"33.449176,-88.837761"
Odd Fellows Cemetery,"33.466075,-88.82153"
Mobile & Ohio Railroad Memorial,"33.454844,-88.79378"
Mississippi State Soccer Field,"33.459677,-88.795088"
Oktibbeha County Courthouse Bell,"33.463995,-88.816107"
Hand Chemistry Lab,"33.451789,-88.788551"
Original Chapel Bell,"33.455635,-88.790691"
Starkville Inline Hockey League,"33.469574,-88.811715"
Rice Hall,"33.449436,-88.791085"
The Lord's Prayer ,"33.42616,-88.77445"
Magnolia Archway,"33.448404,-88.79169"
Play Equipment at McKee Park,"33.446216,-88.831665"
Decorative Fountain,"33.462124,-88.813759"
Tiki Mural at Ricks Cafe,"33.467117,-88.811325"
Hunter Henry Center,"33.458376,-88.797185"
Tank Monument,"33.449727,-88.83736"
Perry Cafeteria,"33.454511,-88.790909"
Class of 1924 Memorial,"33.455539,-88.789574"
The Mill,"33.4576,-88.802693"
Yellowjacket Baseball Field,"33.450558,-88.81721"
MHP TroopG Memorial ,"33.468359,-88.77682"
Griffis Hall,"33.458918,-88.786612"
MSU Band and Choral Rehearsal Hall,"33.448021,-88.789371"
Wise Center,"33.445296,-88.80033"
Oby's,"33.440588,-88.818588"
McKee Park Map,"33.443165,-88.832252"
Saint Joseph's Catholic Center 607,"33.461925,-88.803906"
Cajun Man Mural,"33.460765,-88.814777"
Needmore Church,"33.457945,-88.807739"
Clayton Village Water Tower,"33.476853,-88.705266"
Sawyer Tennis Courts,"33.443452,-88.796678"
Starkville Athletic Club Mural,"33.452588,-88.818668"
The Hump,"33.461554,-88.793496"
Pine Grove M.B. Church,"33.301356,-88.76678"
"J. L. King, Sr. Basketball Court","33.470104,-88.824058"
Victory Center Church,"33.449361,-88.823715"
Bombay Spice Kitchen Indian Restaurant,"33.466203,-88.818114"
MSU Logo,"33.463173,-88.80007"
SK8 Mural,"33.450209,-88.822889"
Golden Triangle Cowboy Church,"33.402971,-88.846069"
Butler Hall ,"33.457562,-88.790259"
The Last Page,"33.463196,-88.816378"
Kimberly Dotson Memorial,"33.451479,-88.790351"
Old Main District Clock,"33.463726,-88.815301"
Chadwick Lake Walking Trail,"33.464209,-88.791155"
Allen Hall,"33.451901,-88.790894"
"J. L. King, Sr. Memorial Center","33.470789,-88.825768"
Woodpecker Trail ,"33.277935,-88.7936"
Allison Hill Memorial,"33.451333,-88.790668"
Maj. Gen. William “Bud” Miley Memorial Bench,"33.475397,-88.814764"
Sportsplex Soccer Fields Pedestrian Bridge,"33.438359,-88.832595"
MSU Bully Statue,"33.453553,-88.790514"
Golden Triangle Vein Center Baseball Field,"33.444505,-88.83312"
The Storehouse Event Venue,"33.485504,-88.817843"
McKee Hall Student Dorm,"33.455518,-88.785319"
Cotton District Alien Mural,"33.460043,-88.802799"
McKee Pedestrian Bridge,"33.444697,-88.832183"
Cypress Cove Gazebo ,"33.274371,-88.790563"
Patriot's Park,"33.454022,-88.833256"
Adaton Water Tower,"33.483691,-88.93334"
Oak Hall,"33.44892,-88.791879"
Babe Ruth Park Visitor’s Gate ,"33.449051,-88.818161"
Trinity Presbyterian Church ,"33.47542,-88.825695"
Starkville Cafe,"33.463996,-88.814609"
Multitennant Fountain ,"33.471767,-88.790853"
Starkville Water Tower,"33.458294,-88.827951"
McCarthy Gymnasium,"33.453147,-88.792293"
Mississippi Horse Park,"33.403494,-88.79517"
St. Luke Lutheran Church,"33.441045,-88.821674"
Purple Heart University ,"33.459522,-88.790739"
Davis Wade Stadium Mississippi Monument,"33.457475,-88.792967"
Adaton Fellowship Hall,"33.474745,-88.918931"
Starkville fire department Eternal flame,"33.463158,-88.808597"
Jon Stephen Steckler Memorial Walk,"33.453694,-88.78999"
Cobb Institute of Archaeology,"33.45508,-88.787443"
Wesley Foundation,"33.456753,-88.784051"
Mckee Park Basketball Court,"33.444436,-88.831625"
